Paper,Program,Integrated with practice,Supervision,Scope,Location,Fixed curriculum,Focus,Video feedback,Setting,Nr. sessions,Hrs,Age,Exp,Educ
Arnett (1989)—I,"Bermuda, two course program",No,No,B,One,Yes,K/S/A,No,C,–,–,27,2.5,12
Arnett (1989)—II,"Bermuda, four course program",Yes,Yes,B,One,Yes,K/S/A,No,C,–,–,36,6.5,12
Bloom and Sheerer (1992),Early Childhood Leadership,Yes,Yes,B,One,No,K/S/A,No,C,77,4,38,12,15
Campbell and Milbourne (2005),"First Beginnings, no consultation",Yes,No,B,Multi,No,K/S/A,No,C,5,3,38,7.4,13
Caruso et al. (1998),NEHSTC,No,No,B,One,No,K/S/A,No,C,4,6,35,4,13
Cassidy et al. (1995),TEACH,No,No,B,Multi,No,K/S/–,No,C,4,–,–,2.5,12
Cassidy et al. (1998)—I,NCCCC—training,Yes,Yes,B,One,Yes,K/S/A,No,C,22,3,22,0,13
Cassidy et al. (1998)—II,NCCCC—service-only,Yes,Yes,B,Multi,No,K/S/A,No,C,–,–,22,0,13
Fantuzzo et al. (1996),Collaborative training,Yes,Yes,B,Multi,Yes,–/S/–,Yes,C,6,4.7,–,8,14
Fantuzzo et al. (1997),Collaborative training revised,Yes,Yes,B,Multi,Yes,–/S/–,Yes,C,5,5.6,–,8,14
Girolametto et al. (2003),Learning Language and Loving it,Yes,Yes,N,One,Yes,–/S/–,Yes,C,14,1.7,38,15.5,14
Girolametto et al. (2004),Learning Language and Loving it,Yes,Yes,N,One,Yes,K//S/–,Yes,C,6,1.5,38,10,14
Horm-Wingerd et al. (1997),NEHSTC,Yes,Yes,B,One,Yes,K/S/–,No,C,4,6,35,4,15
Johnson (1994),Project Success,No,No,B,Multi,No,K/S/A,No,C,–,–,38,10,12
Kaplan and Conn (1984),MDCPTP,No,No,B,Multi,No,K/S/–,No,C,7,2.9,26,5,13
Kontos et al. (1996),Family-to-family,No,No,B,Multi,No,K/S/–,No,F,5,4.3,38,5.4,14
Rhodes and Hennessy (2000),Foundation course,No,No,B,One,Yes,K/S/A,No,C,48,2,–,6,14
